"Time","Bat_voltage {device=""470023670"", name=""V""}","Bat_current {device=""470023670"", name=""V""}","Bat_A {device=""mppt-1210-hus"", name=""A""}","Bat_V {device=""EA-EL-3060"", name=""V""}","Bat_V {device=""mppt-1210-hus"", name=""V""}"
2021-05-28 23:55:15,13,-1.0,-1.0,13,13
2021-05-28 23:56:31,13,-1.0,-1.0,13,13
2021-05-28 23:58:05,13,-1.0,-1.0,13,13
2021-05-28 23:59:36,14,1.1,1.2,,14
2021-05-29 00:00:52,14,0.44,0.42,,14
2021-05-29 00:02:23,14,0.12,0.43,,14
2021-05-29 00:04:00,14,0.37,,,
2021-05-29 00:05:21,14,0.37,0.69,,14
2021-05-29 00:06:36,14,0.39,0.69,,14
2021-05-29 00:07:47,14,0.36,0.68,,14
2021-05-29 00:08:48,14,1.1,0.37,,14
2021-05-29 00:09:59,14,0.72,0.39,,14
2021-05-29 00:11:00,14,0.67,0.11,,14
2021-05-29 00:12:11,14,0.34,0.38,,14
2021-05-29 00:13:32,14,0.38,0.39,,14
2021-05-29 00:14:49,14,0.39,0.39,,14
2021-05-29 00:16:21,14,0.67,,,
2021-05-29 00:17:27,14,0.37,0.38,,14
2021-05-29 00:18:28,14,0.65,0.10,,14
2021-05-29 00:19:39,14,0.076,0.090,,14
2021-05-29 00:20:45,14,0.062,0.35,,14
2021-05-29 00:21:51,14,0.044,0.080,,14
2021-05-29 00:22:53,14,0.35,,,
2021-05-29 00:23:54,14,0.65,,14,
2021-05-29 00:24:55,14,0.35,,14,
2021-05-29 00:26:01,14,0.34,0.34,14,14
2021-05-29 00:27:12,14,0.34,0.33,14,14
2021-05-29 00:28:25,14,0.042,0.31,14,14
2021-05-29 00:29:31,14,0.0030,,,
2021-05-29 00:30:42,14,0.0022,0.010,14,14
2021-05-29 00:31:53,14,-0.0022,,14,
2021-05-29 00:32:54,13,0.0013,,13,
2021-05-29 00:34:08,13,0.0020,0,13,13
2021-05-29 00:35:20,13,-0.99,-1.0,,13
2021-05-29 00:36:26,13,-0.98,-1.0,13,13
2021-05-29 00:37:45,13,-0.99,-1.0,13,13
2021-05-29 00:38:46,13,-0.98,,13,
2021-05-29 00:40:02,13,-0.99,-1.0,13,13
2021-05-29 00:41:03,13,-0.99,,13,
2021-05-29 00:42:16,13,-0.99,-1.0,,13
2021-05-29 00:43:18,13,-2.9,-3,13,13
2021-05-29 00:44:25,13,-2.9,-3,13,13
2021-05-29 00:45:37,13,,-3,,13
2021-05-29 00:46:48,13,-2.9,-3,12,13
2021-05-29 00:47:55,13,-2.9,-3,12,13
2021-05-29 00:49:01,13,-2.9,-3,12,13
2021-05-29 00:50:02,13,-2.9,-3,12,13
2021-05-29 00:51:13,13,-2.9,-3,12,13
2021-05-29 00:52:19,13,-2.9,-3,12,12
2021-05-29 00:53:26,13,-2.9,-3,12,12
2021-05-29 00:54:37,13,-2.9,-3,12,12
2021-05-29 00:55:54,13,-2.9,-3,12,12
2021-05-29 00:57:05,13,-2.9,-3,12,12
2021-05-29 00:58:11,13,-2.9,-3,12,12
2021-05-29 00:59:22,13,-2.9,-3,12,12
2021-05-29 01:00:23,13,-2.9,-3,12,12
2021-05-29 01:01:31,13,-2.9,,12,
2021-05-29 01:02:37,13,-2.9,-3,12,12
2021-05-29 01:03:39,13,-2.9,,12,
2021-05-29 01:04:49,13,-2.9,-3,12,12
2021-05-29 01:06:05,13,-2.9,-3,12,12
2021-05-29 01:07:06,12,-2.9,-3,12,12
2021-05-29 01:08:07,12,-2.9,-3.0,12,12
2021-05-29 01:09:08,12,-2.9,-3,12,12
2021-05-29 01:10:09,12,-2.9,-3,12,12
2021-05-29 01:11:10,12,-2.9,-3,12,12
2021-05-29 01:12:26,12,-2.9,-3,12,12
2021-05-29 01:13:27,12,-2.9,-3,12,12
2021-05-29 01:14:28,12,-2.9,,,
2021-05-29 01:15:39,12,-2.9,-3,12,12
2021-05-29 01:16:40,12,,-3,12,12
2021-05-29 01:17:57,12,-2.9,-3.0,12,12
2021-05-29 01:19:03,12,-2.9,-3,12,12
2021-05-29 01:20:10,12,-2.9,,12,
2021-05-29 01:21:24,12,-2.9,,12,
2021-05-29 01:22:31,12,-2.9,,12,
2021-05-29 01:23:43,12,-2.9,-3,12,12
2021-05-29 01:24:49,12,-2.9,,12,
2021-05-29 01:25:51,13,-0.0063,0.010,13,13
2021-05-29 01:26:57,13,-0.0034,0.010,13,13
2021-05-29 01:28:13,13,-0.011,0.010,13,13
2021-05-29 01:29:19,13,-0.0063,0.010,13,13
2021-05-29 01:30:31,13,-0.0084,0.010,13,13
2021-05-29 01:31:37,13,-0.0036,0,13,13
2021-05-29 01:32:53,13,-0.0013,0.010,13,13
2021-05-29 01:34:03,13,-0.0041,,13,
2021-05-29 01:35:08,13,-0.0019,,13,
2021-05-29 01:36:09,13,-0.0082,0,13,13
2021-05-29 01:37:10,13,-0.0060,,13,
2021-05-29 01:38:16,13,-0.0017,0,,13
